dyad;participant;eat;start.time;end.time;duration;raw.text;collaborative.processes;collaborative.categories;give.explanation;check.comprehension;give.task.information;outside.activity;disagree;show.hostility;show.active.listening;show.solidarity;elicit.partner.information;give.self.information;elicit.proposition;elicit.opinion;incorporate;give.recall;elicit.recall;tool.discourse;coordinate.teamwork;accept;give.opinion.against;give.proposition;elicit.task.information;manage.task;show.reflection;agree;use.social.convention;relax.atmosphere;check.reception;give.opinion.for;shared.emotion;unix.time.video;excel.time.video;human.time.video;human.time.emotion;;;;;
D02;D02P01;Oui;8,39;9,11;0,72;tu m'entends?;check.reception;Interaction management;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;interested;1340111948;41079.55496;13:19:08;13:19:02;;;;;
D02;D02P02;Oui;9,38;10,29;0,91;oui je t'entends;check.reception;Interaction management;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;focused;1340111949;41079.55497;13:19:09;13:19:04;;;;;
D02;D02P01;Oui;10,3;10,65;0,35;ck;check.reception;Interaction management;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;1340111950;41079.55498;13:19:10;;;;;;
D02;D02P01;Oui;10,725;11,175;0,45;(rire);relax.atmosphere;Social relation;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;;1340111951;41079.55499;13:19:11;;;;;;
D02;D02P02;Oui;11,24;11,59;0,35;(rire);relax.atmosphere;Social relation;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;;1340111951;41079.55499;13:19:11;;;;;;
D02;D02P01;Oui;11,7;14;2,3;Juste euh toi c'est Aurélie c'est ça?;use.social.convention;Social relation;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;1340111952;41079.555;13:19:12;;;;;;
D02;D02P02;Oui;14;14,52;0,52;Exactement;agree;Interaction management;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;;1340111954;41079.55502;13:19:14;;;;;;
D02;D02P01;Oui;14,57;15,07;0,5;D'accord;agree;Interaction management;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;;1340111955;41079.55503;13:19:15;;;;;;
D02;D02P02;Oui;14,95;15,81;0,86;Et toi? C'est qui?;use.social.convention;Social relation;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;1340111955;41079.55503;13:19:15;;;;;;
D02;D02P01;Oui;15,8;16,69;0,89;Melina;use.social.convention;Social relation;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;1340111956;41079.55504;13:19:16;;;;;;
D02;D02P02;Oui;16,705;18,055;1,35;Eh ben enchantée Melina;use.social.convention;Social relation;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;1340111957;41079.55505;13:19:17;;;;;;
D02;D02P01;Oui;17,63;18,46;0,83;Voilà pareil;use.social.convention;Social relation;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;1340111958;41079.55507;13:19:18;;;;;;
D02;D02P01;Oui;18,485;19,115;0,63;(rire);relax.atmosphere;Social relation;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;;1340111958;41079.55508;13:19:18;;;;;;
D02;D02P02;Oui;18,775;19,805;1,03;(rire);relax.atmosphere;Social relation;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;;1340111959;41079.55508;13:19:19;;;;;;
D02;D02P01;Oui;19,51;19,79;0,28;Euh;show.reflection;Interaction management;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;1340111960;41079.55509;13:19:20;;;;;;
D02;D02P01;Oui;20,64;24,57;3,93;Alors mais :: on va trouver des slogans c'est ça si j'ai bien compris?;manage.task;Task management;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;1340111961;41079.5551;13:19:21;;;;;;
D02;D02P02;Oui;24,955;26,285;1,33;Ouais exactement, ouais.;agree;Interaction management;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;;1340111965;41079.55515;13:19:25;;;;;;
D02;D02P01;Oui;26,83;27,34;0,51;Alors (...);show.reflection;Interaction management;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;1340111967;41079.55517;13:19:27;;;;;;
D02;D02P02;Oui;26,875;29,995;3,12;On fait un peu un sorte de brainstorming en balançant nos idées en vrac?;manage.task;Task management;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;1340111967;41079.55517;13:19:27;;;;;;
D02;D02P01;Oui;30,125;31,165;1,04;Voilà, ouais, c'est ça.;agree;Interaction management;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;;1340111970;41079.55521;13:19:30;;;;;;
D02;D02P01;Oui;31,595;37,855;6,26;Ouais, bien, le mieux c'est qu'on ait le plus possible comme ça après on a du choix pour euh (.) pour prendre les mieux etc;manage.task;Task management;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;1340111972;41079.55523;13:19:32;;;;;;
D02;D02P02;Oui;31,685;32,275;0,59;Nickel.;agree;Interaction management;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;;1340111972;41079.55523;13:19:32;;;;;;
D02;D02P02;Oui;38,12;39,31;1,19;Ouais on peut faire un tri;manage.task;Task management;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;1340111978;41079.5553;13:19:38;;;;;;
D02;D02P01;Oui;39,075;39,625;0,55;Ouais;agree;Interaction management;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;;1340111979;41079.55531;13:19:39;;;;;;
D02;D02P01;Oui;40,31;42,06;1,75;Donc le thème euh;manage.task;Task management;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;1340111980;41079.55533;13:19:40;;;;;;
D02;D02P02;Oui;40,14;41,13;0,99;Ouais, parfait;agree;Interaction management;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;;1340111980;41079.55533;13:19:40;;;;;;
D02;D02P01;Oui;42,965;43,505;0,54;Euh ::;show.reflection;Interaction management;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;1340111983;41079.55536;13:19:43;;;;;;
D02;D02P01;Oui;43,605;45,535;1,93;La violence, la violence à l'école;elicit.task.information;Information;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;;1340111984;41079.55537;13:19:44;;;;;;
D02;D02P02;Oui;45,975;46,595;0,62;Exact;agree;Interaction management;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;;1340111986;41079.55539;13:19:46;;;;;;
